Name,Description,Phone,Email,Location
Foster + Partners,"['Foster + Partners is an international studio for architecture, planning and design led by its founder and chairman, Lord Foster, together with two heads of design, Spencer de Grey and David Nelson. The practice’s work ranges in scale from the largest single building on the planet, Beijing International airport, to its smallest commission, a range of door furniture. The scope of its work includes masterplans for cities, the design of buildings, interior and product design. There is also a strong interest in city planning and the infrastructure of communication. Projects can be found on six continents throughout the world: Europe, North and South America, Africa, Asia and Australasia.']",,,
EOX Architects,"['EOX is an\xa0interdisciplinary, solution based architecture design firm, aiming to transform lives\xa0 and enhance communities with EXtra Ordinary design.', 'EOX\xa0strives to create forward looking design projects\xa0 nurtured from various disciplines,\xa0 mainly compatible with client needs.\xa0For\xa0EOX, each project is a unique challenge integrating the subject and object of design to form particular, out of the box thinking processes.\xa0']","[""'0090 212 247 11 33'"", ""'0090 212 247 11 35'""]",['info@eox.com.tr'],"[""'Halaskargazi Cad. Ebe Kızı Sok.'"", ""'Sosko Is Merkezi B Blok D 28'"", ""'Istanbul, TR, 34363'"", ""''""]"
BNIM,"['BNIM is a collaboration of architectural, design and planning professionals who leverage a collective capacity for design thinking to solve local and global issues related to design and community. We offer competitive salaries and benefits, an energetic work place, ongoing training opportunities, and an environment that allows employee interests and strengths to flourish. BNIM’s multifaceted design excellence, which combines human experience with aesthetics and building performance, has yielded national acclaim, including the AIA National Architecture Firm Award, and consistent design recognition nationally and internationally.\n', 'The practice works collectively from Kansas City, Mo.; San Diego; and Des Moines, Iowa.']","[""'816.783.1500'"", ""'816.783.1501'"", ""'515.974.6462'"", ""'816.783.1501'"", ""'619.795.9920'"", ""'816.783.1501'""]",[],"[""'2460 Pershing Road Suite 100'"", ""'Kansas City, MO, US, 64108'"", ""''"", ""'317 6th Avenue Suite 100'"", ""'Des Moines, IA, US, 50309'"", ""''"", ""'797 J Street'"", ""'San Diego, CA, US, 92101'"", ""''""]"
DIGSAU,"['DIGSAU is an award-winning firm practicing contemporary architecture, urbanism and environmental design. \xa0Based in Philadelphia, the firm\xa0is recognized for expertise in providing unique, high-quality design to a diverse client group. \xa0The office operates as an open studio, and\xa0consists of a staff of seventeen, including ten Registered Architects.\xa0\xa0']","[""'215.627.0808'""]",['info@digsau.com'],"[""'340 North 12th Street'"", ""'Suite 421'"", ""'Philadelphia, PA, US, 19130'"", ""''""]"
Kilograph,"['Architect founded, we are, at our core, interested in communicating design vision in new and exciting ways. We work closely with our clients to develop unique and compelling narratives that help them reach their audiences. Our artists create 3D illustrations, films and animations, Virtual Reality experiences, custom mobile apps, 3D models, brand identities and interactive websites, and anything else required to bring the vision of your projects to life.', 'Since 2010, our studio has collaborated with leaders in the architecture, real estate and development, and construction industries to achieve visual communication materials with measurable impact on their projects. At Kilograph, we believe in producing everything in-house. This allows us to respond quickly to changes, exercise control over our quality, and give our clients the flexibility we know the design process needs.', 'Contact ', ' for project inquiries.']",[],['info@kilograph.com'],"[""'2404 Wilshire Blvd.'"", ""'United States'"", ""'Los Angeles, CA, US, 90057'"", ""''""]"
Barnes Coy Architects,"['Profile', 'Barnes Coy Architects is an award-winning firm known for innovative modern design. \xa0From our offices in Bridgehampton and Manhattan, we have completed more than 250 projects in the Hamptons, Colorado, Florida, the Caribbean and Central America over the past 25 years.', ""Our Design philosophy is simple and consistent: forms are generated by the interaction between the site context and the program (i.e. requirements) of the client. \xa0This interaction always produces an original response that makes a successful project interesting and unique. \xa0The culture behind the firm's success in achieving the highest standard of design is that no one cares more about the project than the architect."", '\xa0']","[""'6315373555'""]",['christopher@barnescoy.com'],"[""'1936 Montauk Highway'"", ""'PO Box 763'"", ""'Bridgehampton, 11932'"", ""''""]"
Coughlin Architecture PLLC,"['Coughlin Architecture is an architecture practice based in Brooklyn, New York. The work does not focus on any particular type of project but hopes to transcend use. The work does not have a style but instead embodies critical and creative problem solving exploring the collision between program and site. The work resides between brackets, among actors and within relationships. Dancing between these entities, the outcome strives for a positiveness, positioned at the heart of the matter.', 'With over fifteen years of experience, Paul is NCARB certified and a licensed architect in New York, Pennsylvania and New Jersey. Paul received a Bachelor of Architecture from Philadelphia University and a Master of Science in Advanced Architectural Design from Columbia University, GSAPP. \xa0Paul currently teaches design studio at New York City College of Technology']","[""'215.990.2227'""]",['paul@coughlinarchitecture.com'],"[""'106 Ferris Street'"", ""'B6'"", ""'Brooklyn, NY, US, 11231'"", ""''""]"
BEHF Architects,"['Established in 1995 by Armin Ebner, Susi Hasenauer and Stephan Ferenczy, BEHF Architects is an award-winning architectural office located in Vienna, operating at international level. BEHF Architects seeks to improve the built environment by bringing together innovative design strategies and energy-saving, cost-effective solutions tailored to both site resources and user. We are an experienced team of architects, planners, interior designers and strategic minds, responsible for the overall project stages, from the initial strategy and start of the design through all planning phases to the completion.\n  ']",,,
Lake|Flato Architects,"['Established in 1984, Lake|Flato has gained national recognition for architecture that is grounded in the belief that design and sustainability are inseparable pieces of a coherent, place-based approach to building that successfully merges with the landscape. In collaboration with our clients, Lake|Flato creates buildings that are tactile and modern, environmentally responsible and authentic, artful and crafted.']",,,
Shapeless Studio,"['Shapeless Studio is an architecture and design firm that specializes in private residential renovation projects across Brooklyn and Manhattan.\xa0 We seek to work without boundaries, but always respectfully within the urban and historic context, to create projects that are specific and special to each client.\xa0 Architecture is the container into which a life unfolds, and we hope to create spaces in which it is easy to feel happy.\xa0\xa0']",,,
MendeDesign,"[' is a creative firm that operates at the intersection of graphic design, visual research, and public art.', 'We translate abstract concepts into experiences that attract, motivate, arrest, and inspire. We believe that beauty has a social value. We believe that good work – work that is meaningful, well made, dynamic, and durable – makes the world a better place.', 'MendeDesign seeks out opportunities to work with individuals and organizations that are interested in the potential of design to build vital connections between people and ideas.']","[""'4154318200'""]",['stefan@mendedesign.com'],"[""'1211 Folsom Street, 4th Floor'"", ""'4th Floor'"", ""'San Francisco, CA, US, 94103'"", ""''""]"
MUS architects,"['\n\t', 'states for ', '\n\tMUS architects is an architecture creative studio', '\n\tMUS creates space, sculpture form and function in multiple scales.', '\n\tWe stimulate and follow imagination to find best creative and conceptual solutions.', '\n\tWe try to be innovative and pragmatic at the same time.', '\n\tWe try to create beautiful places and inspiring designs.', '\n\tVisit our Company Website: ', '\n\tIf you like us > like as on facebook', '\n\t\xa0']",,,
Freecell Architecture,"['Freecell Architecture llc finds it essential to engage physically with materials, methods, and structures to solve design problems.\xa0 We consider the studio to be an open, as in FREE, organism, as in CELL, that absorbs, processes, and grows from outside influences and resources.\xa0 We strive to make site-specific, three-dimensional constructs that transform and question the use and perception of space, and it is with this formula that we have created installations, designed residences, and fabricated furniture.\xa0 The motivation behind our work lies within our interest in challenging people to engage with their context through activity and the work manifests itself through a careful study of behavior and situational conditions.We aim for maximum impact through minimal means - often with simple materials - to achieve new inventions.\xa0 We strive to overturn conventions in high and low culture and to circumvent traditional processes with the goal of combining art, architecture, industrial design, and social interaction.\xa0 Temporary spatial interventions are our laboratory to test and learn about place, environment, and perceptions.']","[""'7186424180'""]",['jobs@frcll.com'],"[""'67 35th Street, Unit B-525'"", ""'Brooklyn, NY, US, 11232'"", ""''""]"
Juan Moya architecture,"['Architecture firm coordinated by Juan Moya architect, with the aim of formulating reflections and intelligent architectural strategies in the field of culture, society, new technologies and the environment.']","[""'+34 958290521'""]",['info@juanmoya.com'],"[""'Plaza Isabel la Católica, 1, planta 4 oficina 3'"", ""'Granada, ES, 18014'"", ""''""]"
Core Architects,"['CORE Architects Inc. is an award-winning group of architects and interior designers based in Toronto, Canada. Since our formation in 1994, we have quickly distinguished ourselves amongst our competitors by our innovative yet thoughtful design solutions.', 'The firm’s founding principals, Babak Eslahjou, Charles Gane, and Deni Poletti share a design philosophy that focuses on creativity, innovation and sustainability; and a business vision that is client- focused, striving to maximize efficiency while meeting schedule and budgetary constraints.', 'Since our inception, CORE has been responsible for the design of over 150 condominiums projects, 50 of which are in the downtown core of Toronto; the urban-master planning for over 200 million square feet of residential development; numerous private residences, and a number of recreational and sports clubs, restaurants, hotels, resorts, office environments and over 1500 retail rollouts, across Canada, the U.S., and internationally.', 'Beginning in 2001, CORE Architects entered the international market in the Middle East when we were contracted by Emaar Properties to provide master-planning, site coordination and design for over 100 million square feet of development at the Dubai Marina, a waterfront community along the Persian Gulf.', 'Through our successes with Emaar Properties CORE become involved with numerous other international projects such as the design of the flagship branch of Dubai Bank as well as condominium towers in Abu Dhabi, Oman, India and resorts in the Caribbean.', 'Our ability to export and adapt design solutions and technical expertise has created real value for our clients as their projects achieved market success.']","[""'416-343-0400'"", ""'416-343-0401'""]",['info@corearchitects.com'],"[""'317 Adelaide Street West'"", ""'Suite 600'"", ""'Toronto, ON, CA, M5V1P9'"", ""''""]"
VENN STUDIO,"['Venn Studio is a young, dynamic Los Angeles-based firm specializing in custom residential and small-scale commercial projects. Our design philosophy is driven by our attention to detail with an emphasis on designs that are site specific, client responsive, and timeless. We strive to work within the intersection of concept and reality to create successful designs that incorporate an acute attention to ingenuity, budget and livability. We believe well designed buildings can help users live happier, healthier lives.\n  ']","[""'3237950190'""]",['info@vennstudiola.com'],"[""'4474 W Adams blvd'"", ""'Los Angeles, CA, US, 90016'"", ""''""]"
Studio Lotus,"['Studio Lotus is a multi-disciplinary design practice that believes in delivering enriching design solutions through a value-driven process empowering stakeholders and the environment. Found in 2002 by Ambrish Arora, Ankur Choksi and Sidhartha Talwar, it aims at crafting solutions that are benchmarks of sustainable design in the way they address society’s changing ways of living and working. The firm takes a deeply contextual approach to its work and combines this with a strong focus on the tactile and sensory qualities of the space. Currently marking its sixteenth year, Studio Lotus has won close to 100 awards both in India and Internationally.']","[""'011 4057 0808'""]",['media@lotuslink.in'],"[""'F 301, First Floor,'"", ""'Chaudhari Prem Singh House, Himmat Singh Marg'"", ""'New Delhi, IN, 110030'"", ""''""]"
Orkidstudio,"['Orkidstudio creates high quality, healthy and dignified buildings, through an exceptional end-to-end design and construction process, which use local materials and promote opportunities for women.', 'We believe that everyone deserves good design. As Africa’s urban centres grow rapidly, the subsequent burden on buildings and public infrastructure is a very real and urgent challenge. A well-designed built environment is critical to public health, economic growth and environmental resilience.\xa0Our unique end-to-end design and construction service is bringing a new approach to healthier, more dignified and human-centred architecture, and a high quality, efficient and socially-focused construction process to the East African market.']",[],['reachus@orkidstudio.org'],"[""'Kasuku Center, First Floor'"", ""'Migori Road, Kileleshwa'"", ""'Nairobi, KE, 00100'"", ""''""]"
DeOld Andersen Architecture,"['DeOld Andersen Architecture LLC (DAA) is an architecture and design partnership based in Omaha, NE with experience in a range of project types and scales. We approach each project as a unique design problem with its own requirements, constraints and opportunities. Choosing to embrace projects anywhere, we believe architecture and design should enhance the interaction of people, whether it is in a new building or interior, the urban streetscape, or the suburban landscape.']","[""'402-345-7694'""]",['office@d-aarch.com'],"[""'1717 Vinton Street'"", ""'Omaha, NE, US, 68108'"", ""''""]"
A-001 Taller de Arquitectura,"['A-001 Taller de Arquitectura is an architecture, urbanism, design, and research firm based in Mexico City. Its name represents the first idea in the conception of a project. We go back to the origins of design, using observation and contemplation as a creative principle: to think is to give shape.', 'Our guiding question is, “How is it done?” Our effort is placed in the permanent and progressive improvement of design through research, experimentation, and the care for detail. For us, learning is a full time occupation.', 'We model different possibilities for generating experiences and spatial relations in a permeable creative process, that embodies the user and its necessities, to construct an architectonical response.', 'Our approach to ideas helps us create spaces that empower stories. The labor of A-001 underlines the honesty, congruence and pertinence in the use of construction materials.']",,,
A Parallel Architecture,"['\xa0is a design-intensive, multidisciplinary studio located in downtown Austin. Focused on a collaborative process, we work with client, contractor, consultant and craftsman to create meaningful and exquisite buildings.']",,,
Fabio Ferrillo - OFF Arch,"['Fabio Ferrillo develops his unique style in the most relevant interior design offices at first in Milan and then in Paris, specialized in the design of luxury interiors and commercial spaces for prestigious Italian brands. After gaining experience in France, Fabio comes back to Milan in 2010 to establish interior and product design studio OFF Arch, focused on the sectors of luxury fashion retail, hospitality, institutional and residential interiors.\n  ', 'His formation at Politecnico di Milano and the international collaborations allowed the architect to develop his own language combining the most cultured and sophisticated Milanese tradition – from Franco Albini’s furniture at Casa del Cedro by Giulio Minoletti – with the will to experiment including deconstructed and daring contemporary aesthetics. Most of all, it is his experience in the fashion industry, matured through important realizations – MSGM Headquarters, Emilio Pucci offices and Chiara Ferragni Collection showroom – that influenced his realizations, each time able to recreate a spectacular and conceptually refined atmosphere which also distinguishes his projects in other fields, such as high-end Osteria Campamac and Vietmanese luxury store Runway.\n  ', 'A strong linear geometry characterizes the office’s projects, where segments and broken lines rejoin in warm diagonals of matter and light, or else recreate minimal, well-balanced atmospheres. His sensitivity in the use of color and lighting matches the sparkling metals and precious marbles, sometimes seduced by the appeal of the raw and deconstructed, like rough concrete and exposed technical plants. Each and everyone of Fabio Ferrillo’s projects embodies a captivating harmony slowly disclosing to the observer, between iconic references to the great masters of architecture and new, charming perspectives.\n']",,,
Maya Lin Studio,"['\n\tWelcome to the website of Maya Lin Studio. Maya Lin has maintained a careful balance between art and architecture throughout her career, creating a remarkable body of work that includes large-scale site-specific installations, intimate studio artworks, architectural works and memorials.', ""\n\tLandscape is the context and the source of inspiration for Ms. Lin's art. She peers curiously at the landscape through a twenty-first century lens, merging rational and technological order with notions of beauty and the transcendental. Utilizing technological methods to study and visualize the natural world, Ms. Lin takes micro and macro views of the earth, sonar resonance scans, aerial and satellite mapping devices and translates that information into sculptures, drawings and environmental installations. Her works address how we relate and respond to the environment, and presents new ways of looking at the world around us."", '\n\tFrom recent environmental works such as Storm King Wavefield, Where the Land Meets the Sea and Eleven Minute Line to the Vietnam Veterans Memorial, where she cut open the land and polished its edges to create a history embedded in the earth, Ms. Lin has consistently explored how we experience the landscape. She has made works that merge completely with the terrain, blurring the boundaries between two- and three-dimensional space and set up a systematic ordering of the land tied to history, language, and time.', ""\n\tHer studio artwork has been shown in solo and group museum exhibitions throughout the United States and abroad. Ms. Lin's current exhibition Maya Lin: Systematic Landscapes originated at Henry Art Gallery in Seattle and is the first to translate the scale and immersive capacity of her outdoor installations to the interior space of a museum. Currently touring the United States, Maya Lin: Systematic Landscapes can be seen at the de Young Museum in San Francisco through January 8th, 2009."", '\n\t\xa0', '\n\tMs. Lin is represented by PaceWildenstein in New York City.', ""\n\tHer architectural works have included institutional and private commissions, from a chapel and library for the Children's Defense Fund to the Sculpture Center's space in Long Island City to Aveda's headquarters in downtown Manhattan to private residences throughout the Country. Currently Ms. Lin is working on the design for the Museum of Chinese in America's new space in Manhattan's Chinatown, which will open in the spring of 2009."", ""\n\tMaya Lin has been drawn to the critical social and historical issues of our time and addressed them in her memorials, including the Vietnam Veteran's Memorial in Washington DC, the Civil Rights Memorial in Montgomery, AL, the Women's Table at Yale University. Currently she is working on the Confluence Project, a multi-sited installation spanning the Columbia River system in the Pacific Northwest that intertwines the history of Lewis and Clark with the history of the Native American tribes who inhabit those regions. With a critical eye toward the environmental changes that have rapidly occurred, Ms. Lin's Confluence Project has brought significant ecological restoration to six state and national parks along the Columbia River Basin. It is an ongoing project with three of the six sites completed. For more information visit "", '.', ""\n\tMs. Lin is currently working on what will be her last memorial, entitled What is Missing? which will focus on bringing awareness to the current crisis surrounding biodiversity and habitat loss. Once again reinventing what a monument can be, What is Missing? will be a multi-sited work existing in select scientific institutions, online as a website, and as a book. It will debut at the California Academy of Sciences on Earth Day 2009 with a sound and media installation located at the Academy's East Terrace."", '\n\tA committed environmentalist, Lin has consistently focused on environmental concerns, promoting sustainable building design in her architectural works, while making the environment the subject of her artworks. She is deeply committed to focusing attention back to the environment and to ask us to pay closer attention to the natural world.', ""\n\tMaya Lin received her Master of Architecture from Yale University in 1986, and has maintained a professional studio in New York City since then.\xa0 She serves on the Board of Trustees of the Natural Resources Defense Council and is a former member of the Yale Corporation and the Energy Foundation. She is the recipient of numerous prizes and awards, including the Presidential Design Award, a National Endowment for the Arts artist' award, the William A. Bernoudy Resident in Architecture fellowship from the American Academy in Rome, the Award in Architecture from the American Academy of Arts and Letters, an AIA Honor Award, the Finn Juhl Prize, and honorary doctorates from Yale, Harvard, Williams, and Smith College among others."", ""\n\tShe is a member of the American Academy of Arts and Letters, the American Academy of Arts and Sciences, and in 2005 was inducted into the National Women's Hall of Fame. She has been profiled in magazines such as Time Magazine, The New York Times Magazine and The New Yorker. In 1996 a documentary about her work, Maya Lin: A Strong Clear Vision won the Academy Award for Best Documentary. Her book Boundaries, about her work and creative processes, is in its fifth printing with Simon & Schuster. Her architecture and artworks have consistently elicited praise and received awards from magazines and periodicals ranging from Time and Newsweek to Art in America and Architectural Record and The New York Times.""]",[],['jobs@mlinstudio.com'],"[""'New York, NY, US'"", ""''""]"
LOD | Laliving & OPR Design,"['a Living and\xa0', 'ther\xa0People’s\xa0Rooms\xa0', 'esign (', ')', '\n  \xa0\xa0', ' was founded as an architectural experimental laboratory dedicated to exploring the relationship between form and function, architecture and urbanism, economics and sustainability. It creates an open platform for developing new ideas and designs through innovations and collaborations across different disciplines. ', 'Committed to the culture inheritance and innovation, we explore and attempt to breakthrough in the space design, structure, material, economic, and environmental protection.\n  ', 'Team is made up of diverse local designers with overseas architects, who build a new set of design practice mode. Diversified background gives us opening view and inclusive and insight of local culture. ', 'Founded as an architectural design laboratory, we have completed a series of projects for well-known developers, management enterprise and Internet companies in various innovative fields and industries. Through a creative approach and cross-disciplinary collaboration, we as brand architect build together with our Client an open platform for brand design, industrial strategic planning, spatial planning and product line research and development.\n  \xa0\n      ', 'So far we have completed a series of different scale and function design projects, covering culture, residential, office, city planning, old building renovation, and many other fields.\n      ', 'Our design team based in Barcelona Spain, Beijing, Shenzhen, Shanghai and Hong Kong provide a full spectrum of design consultation services including branding, master planning, architectural and interiors design and Visual Identity system. Our completed projects include landmark buildings, hotels, mixed use developments, brand architecture located across Beijing, Shanghai, Shenzhen, Hangzhou, Nanjing, Ningbo. \n      ', ' believe that as the world is rapidly developing we have the responsibility to create new mechanisms for better designing our future; by integrating knowledge, local and specific, traditional and technological, in a way not yet foreseen. Globalization, with its different aspects creates new risked as well as opportunities. LOD is specifically created to build on the potentials of such challenge.\n      ', ' is committed to design far beyond the known limits, because we are convinced there is a better world to be explored. A world more natu- ral, more reasonable and more beautiful. We feel deeply humble learning from nature and how emergent complexity can render beautifully simple and balanced solutions. We are convinced of the benefits of integrating architecture, science and art to overcome the current shortcomings. Our aim has always been to explore the relationship between form and feelings and for many years we have done extensive research in morphogenesis and emotional response. Some of the results have been applied to our projects, which have been recognized with numerous prizes and publications. Others are currently been developed as products. Architecture is all about how we feel within our surroundings.\n      ', ' focus on improving the world around us in all possible materialization including: strategic analysis, master planning, architecture building design, interior design, landscape, public space, infrastructure, branding, furniture, exhibitions and installations. LOD specializes in mixed-use development, residential and commercial complexes, hotels, offices, institutional buildings and design integration of sustainable technology.\xa0', '\n  ', 'Room 1505, 01 Buliding, Guanhu Business Tower, Yaojiayuan\xa0Road, ChaoYang District\n  ', 'tel.\xa0+86 010 5962 3238 \xa0 \xa0P.C.\xa0100025\n  ', '\n  \xa0\n  ', '\n  ', 'Rm 3415, Chanping Business Masion, No 99 Honghua Road, Futian District\n  ', 'tel.\xa0+86 755 8270 7764 \xa0 \xa0P.C. 518000\n  ', '\n  \xa0\n  ', '\n  ', 'Room 801, No.28, Shihongjingyuan Center, YuanwenRoad, Minghang District\n  ', 'tel. +86 130 0325 5006\xa0\xa0 \xa0P.C. 201101\n  ', '\n  \xa0\n  ', '\n  ', 'Ausias Marc 52, P-2, Barcelona, Spain\n  ', 'tel. +34 93 265 52 32 \xa0\xa0\xa0\xa0P.C. 08005\n  ', '\n      ', '\xa0\n      ', '\xa0\n      ']",,,
Kollin Altomare Architects,"['For more than 20 years, Kollin Altomare Architects has designed and reimagined four- and five-star properties in over 25 states and four countries. We’ve also made our mark in luxury residential, retail, and mixed-use. From offices in Long Beach and Chicago, our diverse staff of architects and designers provides full-service architecture, interior\xa0design and planning services.\xa0', 'We are proud to have been involved in the design and renovation of over 350 hospitality and leisure projects spanning the East and West coasts, Hawaii, Mexico, the US Virgin Islands, Ireland and Argentina. Driven to be creatively responsible and responsibly creative, we deliver inspired solutions that surpass the expectations of both our clients and their customers.\xa0', 'We approach every project with the type of drive, accountability, attention to detail, and creativity you’d expect from a firm who has something to prove. Because we do. To our clients, of course. But also to ourselves.', 'Our talented and diverse staff of architects and designers has contributed to the design and renovation of over 350 hospitality and leisure projects for an array of notable clients such as Fairmont, Four Seasons, Hilton, Hyatt, InterContinental, Langham, Loews Hotels, Marriott, Montage, Renaissance, The Ritz-Carlton, Sheraton, Strategic Hotels & Resorts, Viceroy L’Ermitage, and Westin.', 'Kollin Altomare is LEED certified in Building Design and Construction, licensed in 27 states, and a member of the AIA, NCARB and AHLA. Please visit our website for more information on our company, people and projects:\xa0', '\xa0']","[""'562-597-8760'"", ""'312-471-2505'""]","['info@ko-al.com', 'info@ko-al.com']","[""'1350 Coronado Avenue'"", ""'Long Beach, CA, US, 90804'"", ""''"", ""'900 N. Franklin Street, Ste 405-B'"", ""'Chicago, IL, US, 60610'"", ""''""]"
West Workshop,"['West Workshop Architects is an award-winning contemporary architecture and design studio focusing on residential, commercial and public art projects. Kurt West, a registered Architect, founded the firm in 2017 and provides leadership in project design and firm operations. The firm’s collaborative design process translates clients’ desires into unique, practical and enduring solutions that exceed customer expectations.', 'The firm is headquartered in Northern Virginia and has a satellite location in Charlottesville, VA.']",,,
